,candidat,CS Mod.,CS Comp.,PVL Mod.,PVL Comp.,AGISSONS Mod.,AGISSONS Comp.,EàG VD Mod.,EàG VD Comp.,ALLIANCEVD Mod.,ALLIANCEVD Comp.,AdLibertés Mod.,AdLibertés Comp.,PDR Mod.,PDR Comp.,POP Mod.,POP Comp.,PSV - LES VERT·E·S Mod.,PSV - LES VERT·E·S Comp.,Les Libres Mod.,Les Libres Comp.,Sans dénomination ,Total ,parti,voix_interne_non_modifiee,voix_interne_modifiee,AGISSONS,ALLIANCEVD,AdLibertés,CS,EàG VD,Les Libres,PDR,POP,PSV - LES VERT·E·S,PVL
0,Amarelle,—,9,—,451,—,39,—,423,—,2'437,—,35,—,115,—,118,33'127,13'534,—,35,8782,59'105,PSV - LES VERT·E·S,33'127,13'534,39,2437,35,9,423,35,115,118,46661,451
1,Bagiella,179,60,—,74,—,46,—,171,—,69,—,111,—,40,—,27,—,511,—,22,1472,2'782,CS,179,60,46,69,111,239,171,22,40,27,511,74
2,Barbezat-Fuchs,—,19,—,232,—,27,—,58,—,411,—,152,—,104,—,32,—,735,464,184,2184,4'602,Les Libres,464,184,27,411,152,19,58,648,104,32,735,232
3,Borloz,—,1,—,547,—,10,—,9,42'983,15'696,—,58,—,80,—,7,—,2'478,—,47,8694,70'610,ALLIANCEVD,42'983,15'696,10,58679,58,1,9,47,80,7,2478,547
4,Buclin,—,21,—,44,—,42,2'803,1'671,—,96,—,24,—,53,—,161,—,3'116,—,18,2321,10'370,EàG VD,2'803,1'671,42,96,24,21,4474,18,53,161,3116,44
5,Buffat,—,0,—,117,—,7,—,4,42'983,11'241,—,166,—,83,—,14,—,523,—,20,4535,59'693,ALLIANCEVD,42'983,11'241,7,54224,166,0,4,20,83,14,523,117
6,Dardenne,—,7,—,34,—,10,—,30,—,314,1'198,539,—,42,—,9,—,128,—,17,883,3'211,AdLibertés,1'198,539,10,314,1737,7,30,17,42,9,128,34
7,De Benedictis,—,1,4'042,1'896,—,11,—,11,—,1'977,—,30,—,36,—,5,—,1'486,—,32,3643,13'170,PVL,4'042,1'896,11,1977,30,1,11,32,36,5,1486,5938
8,de Sepibus,—,12,—,82,—,8,—,23,—,260,1'198,527,—,19,—,3,—,120,—,20,1035,3'307,AdLibertés,1'198,527,8,260,1725,12,23,20,19,3,120,82
9,Dittli,—,4,—,512,—,4,—,8,42'983,10'993,—,65,—,47,—,7,—,916,—,36,4103,59'678,ALLIANCEVD,42'983,10'993,4,53976,65,4,8,36,47,7,916,512
10,Gorrite,—,12,—,857,—,46,—,459,—,5'932,—,46,—,209,—,144,33'127,15'729,—,58,13382,70'001,PSV - LES VERT·E·S,33'127,15'729,46,5932,46,12,459,58,209,144,48856,857
11,Guillaume Toto,—,19,—,312,—,58,—,232,—,1'543,—,233,2'347,486,—,95,—,2'575,—,72,3878,11'850,PDR,2'347,486,58,1543,233,19,232,72,2833,95,2575,312
12,Keller,—,17,—,62,—,24,—,641,—,100,—,28,—,54,1'235,361,—,1'784,—,19,1700,6'025,POP,1'235,361,24,100,28,17,641,19,54,1596,1784,62
13,Lima,—,23,—,33,—,39,2'803,1'672,—,18,—,17,—,30,—,123,—,1'508,—,13,1730,8'009,EàG VD,2'803,1'672,39,18,17,23,4475,13,30,123,1508,33
14,Lopez,—,24,—,32,—,43,2'803,1'713,—,33,—,44,—,48,—,133,—,2'010,—,23,1791,8'697,EàG VD,2'803,1'713,43,33,44,24,4516,23,48,133,2010,32
15,Luisier Brodard,—,1,—,908,—,10,—,14,42'983,15'815,—,56,—,115,—,15,—,4'669,—,52,10475,75'113,ALLIANCEVD,42'983,15'815,10,58798,56,1,14,52,115,15,4669,908
16,Marendaz,—,27,—,44,—,51,2'803,1'694,—,39,—,20,—,53,—,124,—,2'273,—,11,2005,9'144,EàG VD,2'803,1'694,51,39,20,27,4497,11,53,124,2273,44
17,Metry,—,34,—,132,468,141,—,404,—,168,—,105,—,85,—,35,—,1'356,—,26,2128,5'082,AGISSONS,468,141,609,168,105,34,404,26,85,35,1356,132
18,Misiego,—,19,—,36,—,42,—,912,—,39,—,33,—,52,1'235,363,—,2'256,—,21,1950,6'958,POP,1'235,363,42,39,33,19,912,21,52,1598,2256,36
19,Moret,—,2,—,855,—,13,—,13,42'983,13'484,—,47,—,96,—,7,—,3'578,—,47,9750,70'875,ALLIANCEVD,42'983,13'484,13,56467,47,2,13,47,96,7,3578,855
20,Pahud,—,6,—,22,—,7,—,4,—,251,1'198,487,—,26,—,5,—,109,—,10,816,2'941,AdLibertés,1'198,487,7,251,1685,6,4,10,26,5,109,22
21,Pointet,—,6,4'042,1'771,—,14,—,30,—,1'302,—,34,—,55,—,12,—,1'512,—,29,3023,11'830,PVL,4'042,1'771,14,1302,34,6,30,29,55,12,1512,5813
22,Ruiz,—,10,—,791,—,52,—,592,—,5'179,—,38,—,188,—,155,33'127,15'547,—,69,13069,68'817,PSV - LES VERT·E·S,33'127,15'547,52,5179,38,10,592,69,188,155,48674,791
23,Schaller,—,7,4'042,1'909,—,14,—,28,—,2'007,—,28,—,47,—,3,—,1'889,—,27,3665,13'666,PVL,4'042,1'909,14,2007,28,7,28,27,47,3,1889,5951
24,Venizelos,—,19,—,596,—,75,—,681,—,929,—,50,—,135,—,130,33'127,14'118,—,55,6587,56'502,PSV - LES VERT·E·S,33'127,14'118,75,929,50,19,681,55,135,130,47245,596
